id,addr,port,identity,created,modify,lastbackup,sleeptime
32,10.12.0.5,256,sto-50-sw-960-0,2018-07-10 16:54:38,,2020-08-02 22:30:03,0
33,10.12.0.6,256,sto-50-ap-433-s12,2018-07-10 16:57:31,,2020-08-02 22:30:07,0
34,10.12.0.7,256,sto-50-ap-433-s34,2018-07-10 16:59:16,,2020-08-02 22:30:10,0
35,10.12.0.25,256,alb-baz-428-st-lhg-0,2018-07-10 17:02:15,,2020-08-02 22:30:13,0
36,10.12.0.44,256,sto-1103-ap-otk-0,2018-07-10 17:04:21,,2020-08-02 22:30:17,0
37,10.12.1.5,256,k3-laz-254-sw-960-hot,2018-07-10 17:05:30,,2020-05-12 22:30:19,0
40,10.12.3.5,256,k1-ksl-49-ap-433-s123,2018-07-10 17:08:08,,2020-07-01 22:30:20,0
41,10.12.4.30,256,k7-17l-2357-ap-433-s1,2018-07-10 18:02:20,,2020-08-02 22:30:22,0
42,10.12.3.10,256,k1-ksl-49-ap-922-s1,2018-07-10 18:03:21,,2020-08-02 22:30:25,0
43,10.12.3.11,256,k1-ksl-49-ap-922-s2,2018-07-10 18:08:29,,2020-08-02 22:30:27,0
44,10.12.3.9,256,k1-ksl-49-ap-433-s6,2018-07-10 18:09:31,,2020-08-02 22:30:31,0
46,10.12.5.3,256,k1-fry-74-st-sxt-0,2018-07-10 18:11:41,,2019-09-12 22:30:53,0
47,10.12.6.2,256,k1-ksl-49-br-sxt-149,2018-07-10 18:13:01,,2020-08-02 22:30:33,0
48,10.14.1.11,256,k4-pol-1271-ap-912-s1,2018-07-10 18:14:17,,2020-08-02 22:30:36,0
49,10.14.1.31,256,k4-pol-1271-ap-912-s2,2018-07-10 18:15:57,,2020-08-02 22:30:40,0
50,10.14.1.4,256,k4-pol-1271-sw-960-0,2018-07-10 18:16:37,,2020-08-02 22:30:41,0
51,10.14.1.51,256,k4-pol-1271-ap-sxta-s3,2018-07-10 18:17:18,,2020-08-02 22:30:44,0
52,10.14.2.11,256,k8-mod-1968-ap-912-s1,2018-07-10 18:17:54,,2020-08-02 22:30:47,0
53,10.14.2.31,256,k8-mod-1968-ap-711-s2,2018-07-10 18:18:32,,2020-08-02 22:30:50,0
54,10.14.2.4,256,k8-mod-1968-sw-960-0,2018-07-10 18:19:03,,2020-08-02 22:30:52,0
55,10.14.2.51,256,mk_brodova_sekt3,2018-07-10 18:19:30,,2020-08-02 22:30:55,0
56,10.14.3.5,256,k7-kop-2135-ap-433-s123,2018-07-10 18:20:25,,2020-08-02 22:30:58,0
58,10.20.1.5,256,pt-pt-556-ap-433-s123,2018-07-10 18:21:44,,2020-08-02 22:31:02,0
59,10.20.2.11,256,k6-zav-540-ap-433-s123,2018-07-10 18:24:59,,2019-10-21 22:31:28,0
60,10.20.2.41,256,k6-zav-540-ap-433-s45,2018-07-10 18:37:09,,2019-10-23 22:31:21,0
61,10.20.2.61,256,k6-zav-540-ap-433-s678,2018-07-10 18:43:12,,2019-10-23 22:31:23,0
62,10.20.4.5,256,k6-cih-1666-ap-433-s1,2018-07-10 18:44:46,,2020-01-06 22:31:27,0
67,10.20.5.46,256,k5-ols-459-ap-gr5-s1,2018-07-10 19:06:02,,2020-08-02 22:31:20,0
68,10.20.6.102,256,pt-prs-120-ap-433-s12,2018-07-10 19:08:22,,2020-08-02 22:31:23,0
69,10.20.6.203,256,pt-pt-680-ap-otk-0,2018-07-10 19:10:30,,2020-08-02 22:31:26,0
70,10.20.6.5,256,pt-pt-290-ap-433-s123,2018-07-10 19:11:45,,2020-08-02 22:31:31,0
72,10.20.6.122,256,pt-pt-254-ap-otk-0,2018-07-10 19:13:15,,2020-08-02 22:31:35,0
75,10.20.7.7,256,pt-pt-24-ap-912-s1,2018-07-10 20:37:50,,2020-08-02 22:31:38,0
77,10.20.7.112,256,pt-zav-150-sw-750-0,2018-07-10 21:41:17,,2020-08-02 22:31:40,0
78,10.20.7.113,256,pt-zav-150-ap-otk-0,2018-07-10 21:41:47,,2020-08-02 22:31:43,0
83,10.40.1.40,256,k7-kop-2118-br-911ac-2089,2018-07-10 21:45:49,,2020-08-02 22:31:45,0
84,10.40.1.41,256,k7-maj-2089-br-911ac-2118,2018-07-10 21:46:21,,2020-08-02 22:31:47,0
85,10.32.3.3,256,k1-mas-2457-st-433-0,2018-07-10 21:47:03,,2019-08-29 22:32:21,0
86,10.32.4.44,256,k1-zah-861-ap-411-0,2018-07-10 21:48:04,,2019-05-28 22:32:40,0
87,10.32.2.8,256,pt-zav-76-ap-433-0,2018-07-10 21:48:57,,2019-03-17 22:32:48,0
88,10.32.3.2,256,k6-17l-2417-ap-912-0,2018-07-10 21:49:30,,2020-08-02 22:31:53,0
89,10.32.6.3,256,k6-17l-2417-ap-433-s478,2018-07-10 21:50:06,,2020-08-02 22:31:57,0
90,10.32.6.2,256,k6-17l-2417-ap-433-s125,2018-07-10 21:50:39,,2020-08-02 22:32:00,0
91,10.32.7.2,256,k6-17l-2417-ap-433-s478,2018-07-10 21:51:09,,2020-08-02 22:32:03,0
92,10.32.7.6,256,k1-17l-2417-ap-912-s36,2018-07-10 21:51:37,,2020-08-02 22:32:08,0
93,10.32.7.7,256,k6-17l-2417-br-lhg-100,2018-07-10 21:52:01,,2020-08-02 22:32:10,0
94,10.33.0.10,256,k4-pol-1045-ap-912-0,2018-07-10 21:53:17,,2020-04-22 22:32:40,0
96,10.33.0.4,256,k4-pol-241-br-912-1045,2018-07-10 21:55:19,,2020-04-22 22:32:54,0
97,10.33.0.6,256,k4-pol-241-ap-912-s1,2018-07-10 21:55:50,,2020-08-02 22:32:13,0
98,10.33.0.7,256,k4-pol-241-ap-922-s2,2018-07-10 21:56:16,,2020-08-02 22:32:16,0
99,10.33.0.8,256,k4-pol-241-ap-911-s3,2018-07-10 21:56:47,,2020-08-02 22:32:18,0
100,10.41.1.23,256,k4-pod-213-ap-otk-0,2018-07-10 21:57:52,,2020-08-02 22:32:22,0
101,10.41.2.13,256,k4-bor-343-sw-960-0,2018-07-10 21:58:38,,2020-08-02 22:32:24,0
103,10.41.2.16,256,k4-bor-343-br-lhg-347,2018-07-10 21:59:41,,2020-08-02 22:32:26,0
104,10.41.2.18,256,k4-far-347-sw-960-0,2018-07-10 22:00:06,,2020-08-02 22:32:28,0
105,10.50.1.20,256,k4-ale-649-br-dd5ac-759,2018-07-10 22:00:46,,2020-01-26 22:33:14,0
106,10.50.1.21,256,k4-ale-759-br-dd5ac-649,2018-07-10 22:01:12,,2020-01-26 22:33:16,0
107,10.50.1.69,256,k4-cio-453-br-wap60-466,2018-07-10 22:01:41,,2020-08-02 22:32:33,0
108,10.50.1.70,256,k4-sko-466-br-wap60-453,2018-07-10 22:02:04,,2020-08-02 22:32:35,0
109,10.51.1.114,256,k4-has-745-br-wap60-748,2018-07-10 22:02:43,,2020-08-02 22:32:37,0
110,10.51.1.115,256,k4-has-748-br-wap60-745,2018-07-10 22:03:21,,2020-08-02 22:32:39,0
111,10.51.1.76,256,k4-cio-728-br-wap60-731,2018-07-10 22:03:52,,2020-08-02 22:32:41,0
112,10.51.1.77,256,k4-les-731-br-wap60-728,2018-07-10 22:04:17,,2020-08-02 22:32:43,0
113,10.52.6.10,256,k4-str-355-ap-otk-0,2018-07-10 22:05:10,,,0
115,10.52.6.50,256,k4-mts-360-ap-otk-0,2018-07-10 22:06:02,,2020-08-02 22:33:06,0
116,10.52.1.5,256,k9-tes-427-ap-433-s12,2018-07-10 22:32:19,,2020-08-02 22:33:09,0
